"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"6522","Q16342","PDCD2_HUMAN","Programmed cell death protein 2","Homo sapiens","9606","PDCD2","1","2"
"6523","Q16348","S15A2_HUMAN","Solute carrier family 15 member 2","Homo sapiens","9606","SLC15A2","1","2"
"6524","Q16352","AINX_HUMAN","Alpha-internexin","Homo sapiens","9606","INA","1","2"
"6525","Q16363","LAMA4_HUMAN","Laminin subunit alpha-4","Homo sapiens","9606","LAMA4","1","4"
"6526","Q16384","SSX1_HUMAN","Protein SSX1","Homo sapiens","9606","SSX1","1","2"
"6527","Q16385","SSX2_HUMAN","Protein SSX2","Homo sapiens","9606","SSX2","1","2"
"6528","Q16394","EXT1_HUMAN","Exostosin-1","Homo sapiens","9606","EXT1","1","2"
"6529","Q16401","PSMD5_HUMAN","26S proteasome non-ATPase regulatory subunit 5","Homo sapiens","9606","PSMD5","1","3"
"6530","Q16445","GBRA6_HUMAN","Gamma-aminobutyric acid receptor subunit alpha-6","Homo sapiens","9606","GABRA6","2","2"
"6531","Q16478","GRIK5_HUMAN","Glutamate receptor ionotropic, kainate 5","Homo sapiens","9606","GRIK5","2","2"
"6532","Q16512","PKN1_HUMAN","Serine/threonine-protein kinase N1","Homo sapiens","9606","PKN1","1","2"
"6533","Q16513","PKN2_HUMAN","Serine/threonine-protein kinase N2","Homo sapiens","9606","PKN2","1","1"
"6534","Q16514","TAF12_HUMAN","Transcription initiation factor TFIID subunit 12","Homo sapiens","9606","TAF12","1","1"
"6535","Q16515","ASIC2_HUMAN","Acid-sensing ion channel 2","Homo sapiens","9606","ASIC2","1","1"
"6536","Q16518","RPE65_HUMAN","Retinoid isomerohydrolase","Homo sapiens","9606","RPE65","1","3"
"6537","Q16520","BATF_HUMAN","Basic leucine zipper transcriptional factor ATF-like","Homo sapiens","9606","BATF","1","1"
"6538","Q16526","CRY1_HUMAN","Cryptochrome-1","Homo sapiens","9606","CRY1","1","1"
"6539","Q16527","CSRP2_HUMAN","Cysteine and glycine-rich protein 2","Homo sapiens","9606","CSRP2","1","3"
"6540","Q16531","DDB1_HUMAN","DNA damage-binding protein 1","Homo sapiens","9606","DDB1","1","1"
"6541","Q16533","SNPC1_HUMAN","snRNA-activating protein complex subunit 1","Homo sapiens","9606","SNAPC1","1","1"
"6542","Q16534","HLF_HUMAN","Hepatic leukemia factor","Homo sapiens","9606","HLF","1","1"
"6543","Q16537","2A5E_HUMAN","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform","Homo sapiens","9606","PPP2R5E","1","1"
"6544","Q16539","MK14_HUMAN","Mitogen-activated protein kinase 14","Homo sapiens","9606","MAPK14","1","3"
"6545","Q16540","RM23_HUMAN","39S ribosomal protein L23, mitochondrial","Homo sapiens","9606","MRPL23","1","1"
"6546","Q16543","CDC37_HUMAN","Hsp90 co-chaperone Cdc37","Homo sapiens","9606","CDC37","1","1"
"6547","Q16548","B2LA1_HUMAN","Bcl-2-related protein A1","Homo sapiens","9606","BCL2A1","1","1"
"6548","Q16549","PCSK7_HUMAN","Proprotein convertase subtilisin/kexin type 7","Homo sapiens","9606","PCSK7","1","2"
"6549","Q16552","IL17_HUMAN","Interleukin-17A","Homo sapiens","9606","IL17A","1","1"
"6550","Q16553","LY6E_HUMAN","Lymphocyte antigen 6E","Homo sapiens","9606","LY6E","1","1"
"6551","Q16555","DPYL2_HUMAN","Dihydropyrimidinase-related protein 2","Homo sapiens","9606","DPYSL2","1","1"
"6552","Q16558","KCMB1_HUMAN","Calcium-activated potassium channel subunit beta-1","Homo sapiens","9606","KCNMB1","1","5"
"6553","Q16560","U1SBP_HUMAN","U11/U12 small nuclear ribonucleoprotein 35 kDa protein","Homo sapiens","9606","SNRNP35","1","1"
"6554","Q16563","SYPL1_HUMAN","Synaptophysin-like protein 1","Homo sapiens","9606","SYPL1","1","1"
"6555","Q16566","KCC4_HUMAN","Calcium/calmodulin-dependent protein kinase type IV","Homo sapiens","9606","CAMK4","1","1"
"6556","Q16568","CART_HUMAN","Cocaine- and amphetamine-regulated transcript protein","Homo sapiens","9606","CARTPT","1","1"
"6557","Q16570","ACKR1_HUMAN","Atypical chemokine receptor 1","Homo sapiens","9606","ACKR1","1","3"
"6558","Q16572","VACHT_HUMAN","Vesicular acetylcholine transporter","Homo sapiens","9606","SLC18A3","1","2"
"6559","Q16576","RBBP7_HUMAN","Histone-binding protein RBBP7","Homo sapiens","9606","RBBP7","1","1"
"6560","Q16581","C3AR_HUMAN","C3a anaphylatoxin chemotactic receptor","Homo sapiens","9606","C3AR1","1","2"
"6561","Q16584","M3K11_HUMAN","Mitogen-activated protein kinase kinase kinase 11","Homo sapiens","9606","MAP3K11","1","1"
"6562","Q16585","SGCB_HUMAN","Beta-sarcoglycan","Homo sapiens","9606","SGCB","1","1"
"6563","Q16586","SGCA_HUMAN","Alpha-sarcoglycan","Homo sapiens","9606","SGCA","1","1"
"6564","Q16587","ZNF74_HUMAN","Zinc finger protein 74","Homo sapiens","9606","ZNF74","1","3"
"6565","Q16594","TAF9_HUMAN","Transcription initiation factor TFIID subunit 9","Homo sapiens","9606","TAF9","1","1"
"6566","Q16595","FRDA_HUMAN","Frataxin, mitochondrial","Homo sapiens","9606","FXN","1","2"
"6567","Q16600","ZN239_HUMAN","Zinc finger protein 239","Homo sapiens","9606","ZNF239","1","3"
"6568","Q16602","CALRL_HUMAN","Calcitonin gene-related peptide type 1 receptor","Homo sapiens","9606","CALCRL","1","3"
"6569","Q16610","ECM1_HUMAN","Extracellular matrix protein 1","Homo sapiens","9606","ECM1","1","2"
"6570","Q16611","BAK_HUMAN","Bcl-2 homologous antagonist/killer","Homo sapiens","9606","BAK1","1","1"
"6571","Q16612","NREP_HUMAN","Neuronal regeneration-related protein","Homo sapiens","9606","NREP","1","1"
"6572","Q16613","SNAT_HUMAN","Serotonin N-acetyltransferase","Homo sapiens","9606","AANAT","1","1"
"6573","Q16617","NKG7_HUMAN","Protein NKG7","Homo sapiens","9606","NKG7","1","1"
"6574","Q16619","CTF1_HUMAN","Cardiotrophin-1","Homo sapiens","9606","CTF1","1","1"
"6575","Q16620","NTRK2_HUMAN","BDNF/NT-3 growth factors receptor","Homo sapiens","9606","NTRK2","1","1"
"6576","Q16621","NFE2_HUMAN","Transcription factor NF-E2 45 kDa subunit","Homo sapiens","9606","NFE2","1","1"
"6577","Q16623","STX1A_HUMAN","Syntaxin-1A","Homo sapiens","9606","STX1A","1","1"
"6578","Q16625","OCLN_HUMAN","Occludin","Homo sapiens","9606","OCLN","1","1"
"6579","Q16627","CCL14_HUMAN","C-C motif chemokine 14","Homo sapiens","9606","CCL14","1","1"
"6580","Q16629","SRSF7_HUMAN","Serine/arginine-rich splicing factor 7","Homo sapiens","9606","SRSF7","1","1"
"6581","Q16630","CPSF6_HUMAN","Cleavage and polyadenylation specificity factor subunit 6","Homo sapiens","9606","CPSF6","1","2"
"6582","Q16633","OBF1_HUMAN","POU domain class 2-associating factor 1","Homo sapiens","9606","POU2AF1","1","1"
"6583","Q16635","TAZ_HUMAN","Tafazzin","Homo sapiens","9606","TAFAZZIN","1","2"
"6584","Q16637","SMN_HUMAN","Survival motor neuron protein","Homo sapiens","9606","SMN1","1","1"
"6585","Q16643","DREB_HUMAN","Drebrin","Homo sapiens","9606","DBN1","1","4"
"6586","Q16644","MAPK3_HUMAN","MAP kinase-activated protein kinase 3","Homo sapiens","9606","MAPKAPK3","1","1"
"6587","Q16647","PTGIS_HUMAN","Prostacyclin synthase","Homo sapiens","9606","PTGIS","1","1"
"6588","Q16649","NFIL3_HUMAN","Nuclear factor interleukin-3-regulated protein","Homo sapiens","9606","NFIL3","1","2"
"6589","Q16650","TBR1_HUMAN","T-box brain protein 1","Homo sapiens","9606","TBR1","1","1"
"6590","Q16651","PRSS8_HUMAN","Prostasin","Homo sapiens","9606","PRSS8","1","1"
"6591","Q16653","MOG_HUMAN","Myelin-oligodendrocyte glycoprotein","Homo sapiens","9606","MOG","1","2"
"6592","Q16654","PDK4_HUMAN","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial","Homo sapiens","9606","PDK4","1","1"
"6593","Q16655","MAR1_HUMAN","Melanoma antigen recognized by T-cells 1","Homo sapiens","9606","MLANA","1","1"
"6594","Q16656","NRF1_HUMAN","Nuclear respiratory factor 1","Homo sapiens","9606","NRF1","1","1"
"6595","Q16658","FSCN1_HUMAN","Fascin","Homo sapiens","9606","FSCN1","1","3"
"6596","Q16659","MK06_HUMAN","Mitogen-activated protein kinase 6","Homo sapiens","9606","MAPK6","1","1"
"6597","Q16663","CCL15_HUMAN","C-C motif chemokine 15","Homo sapiens","9606","CCL15","1","3"
"6598","Q16665","HIF1A_HUMAN","Hypoxia-inducible factor 1-alpha","Homo sapiens","9606","HIF1A","1","1"
"6599","Q16666","IF16_HUMAN","Gamma-interferon-inducible protein 16","Homo sapiens","9606","IFI16","1","3"
"6600","Q16667","CDKN3_HUMAN","Cyclin-dependent kinase inhibitor 3","Homo sapiens","9606","CDKN3","1","1"
"6601","Q16670","ZSC26_HUMAN","Zinc finger and SCAN domain-containing protein 26","Homo sapiens","9606","ZSCAN26","1","2"
"6602","Q16671","AMHR2_HUMAN","Anti-Muellerian hormone type-2 receptor","Homo sapiens","9606","AMHR2","1","1"
"6603","Q16674","MIA_HUMAN","Melanoma-derived growth regulatory protein","Homo sapiens","9606","MIA","1","1"
"6604","Q16676","FOXD1_HUMAN","Forkhead box protein D1","Homo sapiens","9606","FOXD1","1","1"
"6605","Q16678","CP1B1_HUMAN","Cytochrome P450 1B1","Homo sapiens","9606","CYP1B1","1","2"
"6606","Q16690","DUS5_HUMAN","Dual specificity protein phosphatase 5","Homo sapiens","9606","DUSP5","1","2"
"6607","Q16695","H31T_HUMAN","Histone H3.1t","Homo sapiens","9606","H3-4","1","3"
"6608","Q16696","CP2AD_HUMAN","Cytochrome P450 2A13","Homo sapiens","9606","CYP2A13","1","3"
"6609","Q16698","DECR_HUMAN","2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial","Homo sapiens","9606","DECR1","1","1"
"6610","Q16706","MA2A1_HUMAN","Alpha-mannosidase 2","Homo sapiens","9606","MAN2A1","1","2"
"6611","Q16718","NDUA5_HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5","Homo sapiens","9606","NDUFA5","1","3"
"6612","Q16719","KYNU_HUMAN","Kynureninase","Homo sapiens","9606","KYNU","1","1"
"6613","Q16720","AT2B3_HUMAN","Plasma membrane calcium-transporting ATPase 3","Homo sapiens","9606","ATP2B3","1","3"
"6614","Q16739","CEGT_HUMAN","Ceramide glucosyltransferase","Homo sapiens","9606","UGCG","1","1"
"6615","Q16740","CLPP_HUMAN","ATP-dependent Clp protease proteolytic subunit, mitochondrial","Homo sapiens","9606","CLPP","1","1"
"6616","Q16760","DGKD_HUMAN","Diacylglycerol kinase delta","Homo sapiens","9606","DGKD","1","4"
"6617","Q16762","THTR_HUMAN","Thiosulfate sulfurtransferase","Homo sapiens","9606","TST","1","4"
"6618","Q16763","UBE2S_HUMAN","Ubiquitin-conjugating enzyme E2 S","Homo sapiens","9606","UBE2S","1","2"
"6619","Q16769","QPCT_HUMAN","Glutaminyl-peptide cyclotransferase","Homo sapiens","9606","QPCT","1","1"
"6620","Q16772","GSTA3_HUMAN","Glutathione S-transferase A3","Homo sapiens","9606","GSTA3","1","3"
"6621","Q16773","KAT1_HUMAN","Kynurenine--oxoglutarate transaminase 1","Homo sapiens","9606","KYAT1","1","1"
"6622","Q16774","KGUA_HUMAN","Guanylate kinase","Homo sapiens","9606","GUK1","1","2"
"6623","Q16775","GLO2_HUMAN","Hydroxyacylglutathione hydrolase, mitochondrial","Homo sapiens","9606","HAGH","1","2"
"6624","Q16777","H2A2C_HUMAN","Histone H2A type 2-C","Homo sapiens","9606","H2AC20","1","4"
"6625","Q16778","H2B2E_HUMAN","Histone H2B type 2-E","Homo sapiens","9606","H2BC21","1","3"
"6626","Q16787","LAMA3_HUMAN","Laminin subunit alpha-3","Homo sapiens","9606","LAMA3","1","3"
"6627","Q16790","CAH9_HUMAN","Carbonic anhydrase 9","Homo sapiens","9606","CA9","1","2"
"6628","Q16795","NDUA9_HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial","Homo sapiens","9606","NDUFA9","1","2"
"6629","Q16798","MAON_HUMAN","NADP-dependent malic enzyme, mitochondrial","Homo sapiens","9606","ME3","1","2"
"6630","Q16799","RTN1_HUMAN","Reticulon-1","Homo sapiens","9606","RTN1","1","1"
"6631","Q16816","PHKG1_HUMAN","Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform","Homo sapiens","9606","PHKG1","2","3"
"6632","Q16819","MEP1A_HUMAN","Meprin A subunit alpha","Homo sapiens","9606","MEP1A","1","2"
"6633","Q16820","MEP1B_HUMAN","Meprin A subunit beta","Homo sapiens","9606","MEP1B","1","3"
"6634","Q16821","PPR3A_HUMAN","Protein phosphatase 1 regulatory subunit 3A","Homo sapiens","9606","PPP1R3A","1","3"
"6635","Q16822","PCKGM_HUMAN","Phosphoenolpyruvate carboxykinase [GTP], mitochondrial","Homo sapiens","9606","PCK2","1","4"
"6636","Q16825","PTN21_HUMAN","Tyrosine-protein phosphatase non-receptor type 21","Homo sapiens","9606","PTPN21","1","2"
"6637","Q16827","PTPRO_HUMAN","Receptor-type tyrosine-protein phosphatase O","Homo sapiens","9606","PTPRO","1","2"
"6638","Q16828","DUS6_HUMAN","Dual specificity protein phosphatase 6","Homo sapiens","9606","DUSP6","1","2"
"6639","Q16829","DUS7_HUMAN","Dual specificity protein phosphatase 7","Homo sapiens","9606","DUSP7","1","4"
"6640","Q16831","UPP1_HUMAN","Uridine phosphorylase 1","Homo sapiens","9606","UPP1","1","1"
"6641","Q16832","DDR2_HUMAN","Discoidin domain-containing receptor 2","Homo sapiens","9606","DDR2","1","2"
"6642","Q16836","HCDH_HUMAN","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","Homo sapiens","9606","HADH","1","3"
"6643","Q16842","SIA4B_HUMAN","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2","Homo sapiens","9606","ST3GAL2","1","1"
"6644","Q16849","PTPRN_HUMAN","Receptor-type tyrosine-protein phosphatase-like N","Homo sapiens","9606","PTPRN","1","1"
"6645","Q16850","CP51A_HUMAN","Lanosterol 14-alpha demethylase","Homo sapiens","9606","CYP51A1","1","4"
"6646","Q16851","UGPA_HUMAN","UTP--glucose-1-phosphate uridylyltransferase","Homo sapiens","9606","UGP2","1","5"
"6647","Q16853","AOC3_HUMAN","Membrane primary amine oxidase","Homo sapiens","9606","AOC3","1","3"
"6648","Q16854","DGUOK_HUMAN","Deoxyguanosine kinase, mitochondrial","Homo sapiens","9606","DGUOK","1","2"
"6649","Q16864","VATF_HUMAN","V-type proton ATPase subunit F","Homo sapiens","9606","ATP6V1F","1","2"
"6650","Q16873","LTC4S_HUMAN","Leukotriene C4 synthase","Homo sapiens","9606","LTC4S","1","1"
"6651","Q16875","F263_HUMAN","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","Homo sapiens","9606","PFKFB3","1","1"
"6652","Q16877","F264_HUMAN","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4","Homo sapiens","9606","PFKFB4","1","6"
"6653","Q16878","CDO1_HUMAN","Cysteine dioxygenase type 1","Homo sapiens","9606","CDO1","1","2"
"6654","Q16880","CGT_HUMAN","2-hydroxyacylsphingosine 1-beta-galactosyltransferase","Homo sapiens","9606","UGT8","1","2"
"6655","Q16881","TRXR1_HUMAN","Thioredoxin reductase 1, cytoplasmic","Homo sapiens","9606","TXNRD1","1","3"
"6656","Q16890","TPD53_HUMAN","Tumor protein D53","Homo sapiens","9606","TPD52L1","1","1"
"6657","Q16891","MIC60_HUMAN","MICOS complex subunit MIC60","Homo sapiens","9606","IMMT","1","1"
"6658","Q17R60","IMPG1_HUMAN","Interphotoreceptor matrix proteoglycan 1","Homo sapiens","9606","IMPG1","1","2"
"6659","Q17R89","RHG44_HUMAN","Rho GTPase-activating protein 44","Homo sapiens","9606","ARHGAP44","1","1"
"6660","Q17R98","ZN827_HUMAN","Zinc finger protein 827","Homo sapiens","9606","ZNF827","1","1"
"6661","Q17RB8","LONF1_HUMAN","LON peptidase N-terminal domain and RING finger protein 1","Homo sapiens","9606","LONRF1","1","2"
"6662","Q17RD7","SYT16_HUMAN","Synaptotagmin-16","Homo sapiens","9606","SYT16","1","2"
"6663","Q17RS7","GEN_HUMAN","Flap endonuclease GEN homolog 1","Homo sapiens","9606","GEN1","1","2"
"6664","Q17RW2","COOA1_HUMAN","Collagen alpha-1(XXIV) chain","Homo sapiens","9606","COL24A1","1","2"
"6665","Q17RY0","CPEB4_HUMAN","Cytoplasmic polyadenylation element-binding protein 4","Homo sapiens","9606","CPEB4","1","1"
"6666","Q18PE1","DOK7_HUMAN","Protein Dok-7","Homo sapiens","9606","DOK7","1","1"
"6667","Q19AV6","ZSWM7_HUMAN","Zinc finger SWIM domain-containing protein 7","Homo sapiens","9606","ZSWIM7","1","1"
"6668","Q19T08","ECSCR_HUMAN","Endothelial cell-specific chemotaxis regulator","Homo sapiens","9606","ECSCR","1","1"
"6669","Q1EHB4","SC5AC_HUMAN","Sodium-coupled monocarboxylate transporter 2","Homo sapiens","9606","SLC5A12","2","2"
"6670","Q1HG43","DOXA1_HUMAN","Dual oxidase maturation factor 1","Homo sapiens","9606","DUOXA1","1","1"
"6671","Q1HG44","DOXA2_HUMAN","Dual oxidase maturation factor 2","Homo sapiens","9606","DUOXA2","1","2"
"6672","Q1L5Z9","LONF2_HUMAN","LON peptidase N-terminal domain and RING finger protein 2","Homo sapiens","9606","LONRF2","1","3"
"6673","Q1MSJ5","CSPP1_HUMAN","Centrosome and spindle pole-associated protein 1","Homo sapiens","9606","CSPP1","1","4"
"6674","Q1MX18","INSC_HUMAN","Protein inscuteable homolog","Homo sapiens","9606","INSC","1","1"
"6675","Q1RMZ1","SAMTR_HUMAN","S-adenosylmethionine sensor upstream of mTORC1","Homo sapiens","9606","BMT2","1","1"
"6676","Q1W6H9","F110C_HUMAN","Protein FAM110C","Homo sapiens","9606","FAM110C","1","2"
"6677","Q24JP5","T132A_HUMAN","Transmembrane protein 132A","Homo sapiens","9606","TMEM132A","1","1"
"6678","Q27J81","INF2_HUMAN","Inverted formin-2","Homo sapiens","9606","INF2","1","2"
"6679","Q29980","MICB_HUMAN","MHC class I polypeptide-related sequence B","Homo sapiens","9606","MICB","1","2"
"6680","Q29983","MICA_HUMAN","MHC class I polypeptide-related sequence A","Homo sapiens","9606","MICA","1","1"
"6681","Q29RF7","PDS5A_HUMAN","Sister chromatid cohesion protein PDS5 homolog A","Homo sapiens","9606","PDS5A","1","1"
"6682","Q2HXU8","CL12B_HUMAN","C-type lectin domain family 12 member B","Homo sapiens","9606","CLEC12B","1","1"
"6683","Q2I0M4","LRC26_HUMAN","Leucine-rich repeat-containing protein 26","Homo sapiens","9606","LRRC26","1","2"
"6684","Q2I0M5","RSPO4_HUMAN","R-spondin-4","Homo sapiens","9606","RSPO4","1","2"
"6685","Q2KHM9","MOONR_HUMAN","Protein moonraker","Homo sapiens","9606","KIAA0753","1","3"
"6686","Q2KHN1","RN151_HUMAN","RING finger protein 151","Homo sapiens","9606","RNF151","1","1"
"6687","Q2KHR2","RFX7_HUMAN","DNA-binding protein RFX7","Homo sapiens","9606","RFX7","1","1"
"6688","Q2KHT3","CL16A_HUMAN","Protein CLEC16A","Homo sapiens","9606","CLEC16A","1","2"
"6689","Q2KHT4","GSG1_HUMAN","Germ cell-specific gene 1 protein","Homo sapiens","9606","GSG1","1","2"
"6690","Q2LD37","BLTP1_HUMAN","Bridge-like lipid transfer protein family member 1","Homo sapiens","9606","BLTP1","1","2"
"6691","Q2M1K9","ZN423_HUMAN","Zinc finger protein 423","Homo sapiens","9606","ZNF423","1","1"
"6692","Q2M1P5","KIF7_HUMAN","Kinesin-like protein KIF7","Homo sapiens","9606","KIF7","1","2"
"6693","Q2M1Z3","RHG31_HUMAN","Rho GTPase-activating protein 31","Homo sapiens","9606","ARHGAP31","1","2"
"6694","Q2M2E3","ODFP4_HUMAN","Outer dense fiber protein 4","Homo sapiens","9606","ODF4","1","2"
"6695","Q2M2I5","K1C24_HUMAN","Keratin, type I cytoskeletal 24","Homo sapiens","9606","KRT24","1","1"
"6696","Q2M2I8","AAK1_HUMAN","AP2-associated protein kinase 1","Homo sapiens","9606","AAK1","1","3"
"6697","Q2M2Z5","KIZ_HUMAN","Centrosomal protein kizuna","Homo sapiens","9606","KIZ","1","2"
"6698","Q2M385","MPEG1_HUMAN","Macrophage-expressed gene 1 protein","Homo sapiens","9606","MPEG1","1","1"
"6699","Q2M389","WASC4_HUMAN","WASH complex subunit 4","Homo sapiens","9606","WASHC4","1","2"
"6700","Q2M3C6","TM266_HUMAN","Transmembrane protein 266","Homo sapiens","9606","TMEM266","1","2"
"6701","Q2M3C7","SPKAP_HUMAN","A-kinase anchor protein SPHKAP","Homo sapiens","9606","SPHKAP","1","1"
"6702","Q2M3G0","ABCB5_HUMAN","ATP-binding cassette sub-family B member 5","Homo sapiens","9606","ABCB5","1","4"
"6703","Q2M3M2","SC5A9_HUMAN","Sodium/glucose cotransporter 4","Homo sapiens","9606","SLC5A9","1","2"
"6704","Q2M3R5","S35G1_HUMAN","Solute carrier family 35 member G1","Homo sapiens","9606","SLC35G1","1","1"
"6705","Q2M3T9","HYAL4_HUMAN","Hyaluronidase-4","Homo sapiens","9606","HYAL4","1","2"
"6706","Q2MKA7","RSPO1_HUMAN","R-spondin-1","Homo sapiens","9606","RSPO1","1","1"
"6707","Q2MV58","TECT1_HUMAN","Tectonic-1","Homo sapiens","9606","TCTN1","2","2"
"6708","Q2NKJ3","CTC1_HUMAN","CST complex subunit CTC1","Homo sapiens","9606","CTC1","1","2"
"6709","Q2NKQ1","SGSM1_HUMAN","Small G protein signaling modulator 1","Homo sapiens","9606","SGSM1","1","2"
"6710","Q2NKX8","ERC6L_HUMAN","DNA excision repair protein ERCC-6-like","Homo sapiens","9606","ERCC6L","1","1"
"6711","Q2NL67","PARP6_HUMAN","Protein mono-ADP-ribosyltransferase PARP6","Homo sapiens","9606","PARP6","1","1"
"6712","Q2NL68","PRSR3_HUMAN","Proline and serine-rich protein 3","Homo sapiens","9606","PROSER3","1","1"
"6713","Q2PPJ7","RGPA2_HUMAN","Ral GTPase-activating protein subunit alpha-2","Homo sapiens","9606","RALGAPA2","1","2"
"6714","Q2Q1W2","LIN41_HUMAN","E3 ubiquitin-protein ligase TRIM71","Homo sapiens","9606","TRIM71","1","1"
"6715","Q2QGD7","ZXDC_HUMAN","Zinc finger protein ZXDC","Homo sapiens","9606","ZXDC","1","2"
"6716","Q2QL34","MP17L_HUMAN","Mpv17-like protein","Homo sapiens","9606","MPV17L","1","1"
"6717","Q2T9J0","TYSD1_HUMAN","Peroxisomal leader peptide-processing protease","Homo sapiens","9606","TYSND1","1","3"
"6718","Q2TAA5","ALG11_HUMAN","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase","Homo sapiens","9606","ALG11","1","2"
"6719","Q2TAC2","CCD57_HUMAN","Coiled-coil domain-containing protein 57","Homo sapiens","9606","CCDC57","1","3"
"6720","Q2TAK8","PWP3A_HUMAN","PWWP domain-containing DNA repair factor 3A","Homo sapiens","9606","PWWP3A","1","3"
"6721","Q2TAL6","VWC2_HUMAN","Brorin","Homo sapiens","9606","VWC2","1","1"
"6722","Q2TAL8","QRIC1_HUMAN","Transcriptional regulator QRICH1","Homo sapiens","9606","QRICH1","1","1"
"6723","Q2TAY7","SMU1_HUMAN","WD40 repeat-containing protein SMU1","Homo sapiens","9606","SMU1","1","2"
"6724","Q2TAZ0","ATG2A_HUMAN","Autophagy-related protein 2 homolog A","Homo sapiens","9606","ATG2A","1","3"
"6725","Q2TB90","HKDC1_HUMAN","Hexokinase HKDC1","Homo sapiens","9606","HKDC1","1","3"
"6726","Q2TBA0","KLH40_HUMAN","Kelch-like protein 40","Homo sapiens","9606","KLHL40","1","2"
"6727","Q2TBE0","C19L2_HUMAN","CWF19-like protein 2","Homo sapiens","9606","CWF19L2","1","4"
"6728","Q2UY09","COSA1_HUMAN","Collagen alpha-1(XXVIII) chain","Homo sapiens","9606","COL28A1","2","2"
"6729","Q2V2M9","FHOD3_HUMAN","FH1/FH2 domain-containing protein 3","Homo sapiens","9606","FHOD3","1","2"
"6730","Q2VIQ3","KIF4B_HUMAN","Chromosome-associated kinesin KIF4B","Homo sapiens","9606","KIF4B","2","2"
"6731","Q2VPA4","CR1L_HUMAN","Complement component receptor 1-like protein","Homo sapiens","9606","CR1L","1","3"
"6732","Q2VPK5","CTU2_HUMAN","Cytoplasmic tRNA 2-thiolation protein 2","Homo sapiens","9606","CTU2","1","1"
"6733","Q2VWA4","SKOR2_HUMAN","SKI family transcriptional corepressor 2","Homo sapiens","9606","SKOR2","1","3"
"6734","Q2WEN9","CEA16_HUMAN","Carcinoembryonic antigen-related cell adhesion molecule 16","Homo sapiens","9606","CEACAM16","1","2"
"6735","Q2WGJ6","KLH38_HUMAN","Kelch-like protein 38","Homo sapiens","9606","KLHL38","1","3"
"6736","Q2Y0W8","S4A8_HUMAN","Electroneutral sodium bicarbonate exchanger 1","Homo sapiens","9606","SLC4A8","1","1"
"6737","Q2YD98","UVSSA_HUMAN","UV-stimulated scaffold protein A","Homo sapiens","9606","UVSSA","1","2"
"6738","Q30154","DRB5_HUMAN","HLA class II histocompatibility antigen, DR beta 5 chain","Homo sapiens","9606","HLA-DRB5","1","1"
"6739","Q30201","HFE_HUMAN","Hereditary hemochromatosis protein","Homo sapiens","9606","HFE","1","1"
"6740","Q30KQ6","DB114_HUMAN","Beta-defensin 114","Homo sapiens","9606","DEFB114","1","1"
"6741","Q32M45","ANO4_HUMAN","Anoctamin-4","Homo sapiens","9606","ANO4","2","1"
"6742","Q32M88","PGGHG_HUMAN","Protein-glucosylgalactosylhydroxylysine glucosidase","Homo sapiens","9606","PGGHG","1","2"
"6743","Q32MK0","MYLK3_HUMAN","Myosin light chain kinase 3","Homo sapiens","9606","MYLK3","1","3"
"6744","Q32MQ0","ZN750_HUMAN","Zinc finger protein 750","Homo sapiens","9606","ZNF750","1","1"
"6745","Q32MZ4","LRRF1_HUMAN","Leucine-rich repeat flightless-interacting protein 1","Homo sapiens","9606","LRRFIP1","1","2"
"6746","Q32NB8","PGPS1_HUMAN","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial","Homo sapiens","9606","PGS1","2","1"
"6747","Q32P28","P3H1_HUMAN","Prolyl 3-hydroxylase 1","Homo sapiens","9606","P3H1","1","2"
"6748","Q32P41","TRM5_HUMAN","tRNA (guanine(37)-N1)-methyltransferase","Homo sapiens","9606","TRMT5","1","2"
"6749","Q32P44","EMAL3_HUMAN","Echinoderm microtubule-associated protein-like 3","Homo sapiens","9606","EML3","1","1"
"6750","Q330K2","NDUF6_HUMAN","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6","Homo sapiens","9606","NDUFAF6","1","2"
"6751","Q33E94","RFX4_HUMAN","Transcription factor RFX4","Homo sapiens","9606","RFX4","1","2"
"6752","Q38SD2","LRRK1_HUMAN","Leucine-rich repeat serine/threonine-protein kinase 1","Homo sapiens","9606","LRRK1","1","3"
"6753","Q3B7T1","EDRF1_HUMAN","Erythroid differentiation-related factor 1","Homo sapiens","9606","EDRF1","1","1"
